j4-dmenu-desktop 2.16-1
jack 0.125.0-5
jansson 2.11-1
jasper 2.0.14-1
java-runtime-common 3-1
jbig2dec 0.15-1
jdownloader2 latest-13
jemalloc 1:5.1.0-1
jetbrains-toolbox 2:1.12.4481-1
jfsutils 1.1.15-6
jre-openjdk 11.0.1.u13-2
jre-openjdk-headless 11.0.1.u13-2
js52 52.9.0-1
js60 60.2.2-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
karchive 5.52.0-1
kauth 5.52.0-1
kbd 2.0.4-2
kbookmarks 5.52.0-1
kcmutils 5.52.0-1
kcodecs 5.52.0-1
kcompletion 5.52.0-1
kconfig 5.52.0-1
kconfigwidgets 5.52.0-1
kcoreaddons 5.52.0-1
kcrash 5.52.0-1
kdbusaddons 5.52.0-1
kdeclarative 5.52.0-1
keyutils 1.6-1
kglobalaccel 5.52.0-1
kguiaddons 5.52.0-1
ki18n 5.52.0-1
kiconthemes 5.52.0-1
kio 5.52.0-1
kitemviews 5.52.0-1
kjobwidgets 5.52.0-1
kmod 25-1
knewstuff 5.52.0-1
knotifications 5.52.0-1
kpackage 5.52.0-1
kparts 5.52.0-1
krb5 1.16.1-1
kservice 5.52.0-1
ktextwidgets 5.52.0-1
kwallet 5.52.0-1
kwidgetsaddons 5.52.0-1
kwindowsystem 5.52.0-1
kxmlgui 5.52.0-1
l-smash 2.14.5-1
ladspa 1.13-7
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-1
ldb 1:1.4.3-1
ldns 1.7.0-4
lensfun 0.3.2-7
less 530-1
lib32-alsa-lib 1.1.7-1
lib32-alsa-plugins 1.1.7-1
lib32-bzip2 1.0.6-3
lib32-expat 2.2.6-1
lib32-gcc-libs 8.2.1+20180831-1
lib32-glibc 2.28-5
lib32-icu 63.1-2
lib32-libdrm 2.4.96-1
lib32-libelf 0.174-1
lib32-libffi 3.2.1-2
lib32-libglvnd 1.1.0-1
lib32-libpciaccess 0.14-1
lib32-libx11 1.6.7-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.13.1-1
lib32-libxdamage 1.1.4-3
lib32-libxdmcp 1.1.2-2
lib32-libxext 1.3.3-2
lib32-libxfixes 5.0.3-2
lib32-libxml2 2.9.8-5
lib32-libxshmfence 1.3-1
lib32-libxss 1.2.3-1
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 7.0.0-1
lib32-lm_sensors 3.4.0-2
lib32-mesa 18.2.5-1
lib32-ncurses 6.1-3
lib32-readline 7.0.005-1
lib32-wayland 1.16.0-1
lib32-zlib 1.2.11-2
libabw 0.1.2-1
libaio 0.3.111-2
libao 1.2.2-2
libarchive 3.3.3-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.6-1
libavc1394 0.5.4-3
libblockdev 2.20-1
libbluray 1.0.2-2
libbs2b 3.1.0-6
libbsd 0.9.1-1
libbytesize 1.4-1
libcaca 0.99.beta19-2
libcanberra 0.30+2+gc0620e4-2
